naif_id	name	parent_id
1	mercury	10
2	venus	10
4	mars	10
5	jupiter	10
6	saturn	10
7	uranus	10
8	neptune	10
9	pluto	10
10	sun	0
199	mercury	10
299	venus	10
301	moon	399
399	earth	10
401	phobos	4
402	deimos	4
499	mars	10
501	io	5
502	europa	5
503	ganymede	5
504	callisto	5
505	amalthea	5
506	himalia	5
507	elara	5
508	pasiphae	5
509	sinope	5
510	lysithea	5
511	carme	5
512	ananke	5
513	leda	5
514	thebe	5
515	adrastea	5
516	metis	5
517	callirrhoe	5
599	jupiter	10
601	mimas	6
602	enceladus	6
603	tethys	6
604	dione	6
605	rhea	6
606	titan	6
607	hyperion	6
608	iapetus	6
609	phoebe	6
610	janus	6
611	epimetheus	6
612	helene	6
613	telesto	6
614	calypso	6
615	atlas	6
616	prometheus	6
617	pandora	6
699	saturn	10
701	ariel	7
702	umbriel	7
703	titania	7
704	oberon	7
705	miranda	7
799	uranus	10
801	triton	8
802	nereid	8
803	naiad	8
804	thalassa	8
805	despina	8
806	galatea	8
807	larissa	8
808	proteus	8
899	neptune	10
901	charon	9
902	nix	9
903	hydra	9
904	kerberos	9
905	styx	9
999	pluto	10
2000001	ceres	10
2000004	vesta	10
