  # HOST                                        SRC ANBIETER BIETET              WIR NUTZEN                   FORCES                
=======================================================================================================================================
  1 github.com                                  232 74 Release Assets            232 Quellen                  diffusion,em,gravity
  2 api.worldbank.org                           228 29544 Indikatoren            3 Ind.                       diffusion,em
  3 imag-data.bgs.ac.uk                         162 ~130 Observatorien           162 Quellen                  em,gravity
  4 api.tidesandcurrents.noaa.gov               130 3499 Stationen               116 Stat.                    acoustic,advective,d
  5 api.open-meteo.com                          120 8 Endpunkte                  163 Params                   acoustic,advective,d
  6 services.swpc.noaa.gov                       84 ~100 Produkte                33 Produkte                  advective,diffusion,
  7 tapvizier.cds.unistra.fr                     84 ~20000 Tabellen              84 Quellen                   em,gravity,seismic-b
  8 gea.esac.esa.int                             63 1.812.709.771 Sterne         1 Tabelle, 63 TOP-Caps       em
  9 heasarc.gsfc.nasa.gov                        51 ~600 Missionen               51 Quellen                   diffusion,em
 10 earthquake.usgs.gov                          48 ~30000/Tag                   48 Quellen                   acoustic,em,seismic-
 11 api.gbif.org                                 42 2.2 Mrd Occurrences          42 Quellen                   acoustic,diffusion,e
 12 www.ndbc.noaa.gov                            39 1351 Stationen               36 Stat.                     acoustic,diffusion
 13 www.ncei.noaa.gov                            38 ~10000 Datasets              38 Quellen                   acoustic,diffusion,e
 14 pdgapi.lbl.gov                               38 38 Quellen                   38 Quellen                   em
 15 query1.finance.yahoo.com                     37 ~50000 Ticker                37 Ticker                    em
 16 irsa.ipac.caltech.edu                        34 ~100 Tabellen                34 Quellen                   diffusion,em,gravity
 17 services6.arcgis.com                         32 32 Quellen                   32 Quellen                   acoustic,em
 18 services9.arcgis.com                         28 28 Quellen                   28 Quellen                   advective,diffusion,
 19 raw.githubusercontent.com                    27 27 Quellen                   27 Quellen                   em,gravity,seismic-s
 20 ssd-api.jpl.nasa.gov                         26 26 Quellen                   26 Quellen                   acoustic,em,gravity
 21 waterservices.usgs.gov                       21 21 Quellen                   21 Quellen                   acoustic,diffusion,s
 22 gml.noaa.gov                                 21 ~30 Feeds                    21 Quellen                   diffusion,em
 23 aeronet.gsfc.nasa.gov                        18 ~500 Stationen               18 Quellen                   diffusion,em
 24 eutils.ncbi.nlm.nih.gov                      18 ~40 Datenbanken              20 Quellen                   em,gravity
 25 api.inaturalist.org                          17 1.420.180 Taxa               1 Stat.                      diffusion,em
 26 inspirehep.net                               17 17 Quellen                   17 Quellen                   em
 27 celestrak.org                                15 16238 Satelliten             12 Gruppen                   em
 28 aviationweather.gov                          13 ~9000 Airports               13 Quellen                   acoustic,em
 29 nrt.cmems-du.eu                              13 13 Quellen                   13 Quellen                   acoustic,diffusion,g
 30 exoplanetarchive.ipac.caltech.edu            13 ~5500 Planeten               13 Quellen                   em,gravity
 31 api.obis.org                                 10 ~150000 Arten                3 Stat.                      diffusion,em
 32 services.arcgis.com                           9 9 Quellen                    9 Quellen                    advective,diffusion,
 33 mast.stsci.edu                                9 ~20 Tabellen                 9 Quellen                    em
 34 export.arxiv.org                              9 ~2.4M Papers                 9 Quellen                    em
 35 api.weather.gov                               8 8 Quellen                    8 Quellen                    acoustic,diffusion,e
 36 tle.ivanstanojevic.me                         7 7 Quellen                    7 Quellen                    em
 37 api.crossref.org                              7 7 Quellen                    7 Quellen                    em
 38 noaadata.apps.nsidc.org                       7 7 Quellen                    7 Quellen                    em
 39 service.earthscope.org                        7 7 Quellen                    7 Quellen                    acoustic,em,seismic-
 40 cmr.earthdata.nasa.gov                        7 7 Quellen                    7 Quellen                    diffusion,em,thermal
 41 volcanoes.usgs.gov                            6 6 Quellen                    6 Quellen                    em,seismic-surface
 42 gtnp.arcticportal.org                         6 6 Quellen                    6 Quellen                    diffusion,thermal
 43 services3.arcgis.com                          5 5 Quellen                    5 Quellen                    em,gravity,seismic-b
 44 api.waqi.info                                 5 5 Quellen                    5 Quellen                    diffusion
 45 gdacs.org                                     5 5 Quellen                    5 Quellen                    diffusion,em,seismic
 46 gracedb.ligo.org                              5 ~100 Events                  5 Quellen                    em,gravity
 47 eonet.gsfc.nasa.gov                           5 5 Quellen                    5 Quellen                    em,seismic-body
 48 api.coral.tsr.lol                             5 5 Quellen                    5 Quellen                    em,thermal
 49 lasp.colorado.edu                             5 5 Quellen                    5 Quellen                    em
 50 power.larc.nasa.gov                           5 5 Quellen                    5 Params                     em,thermal
 51 en.wikipedia.org                              5 6.8M Artikel                 5 Quellen                    em
 52 www.cpc.ncep.noaa.gov                         5 5 Quellen                    5 Quellen                    em,thermal
 53 ghoapi.azureedge.net                          5 5 Quellen                    5 Quellen                    diffusion,em
 54 webservices.volcano.si.edu                    5 5 Quellen                    5 Quellen                    seismic-surface
 55 rest.isric.org                                5 5 Quellen                    5 Quellen                    diffusion,em
 56 api.neotomadb.org                             5 5 Quellen                    5 Quellen                    diffusion,em
 57 skyserver.sdss.org                            5 ~500M Objekte                5 Quellen                    em
 58 www.sidc.be                                   5 5 Quellen                    5 Quellen                    em
 59 api.adsb.lol                                  4 4 Quellen                    4 Quellen                    em
 60 www.seismicportal.eu                          4 4 Quellen                    4 Quellen                    em,seismic-body
 61 api.geonet.org.nz                             4 4 Quellen                    4 Quellen                    em,seismic-body
 62 services2.arcgis.com                          4 4 Quellen                    4 Quellen                    advective,diffusion,
 63 cdaweb.gsfc.nasa.gov                          4 4 Quellen                    14 Params                    advective,em,gravity
 64 seismic-api.science.unimelb.edu.au            4 4 Quellen                    4 Quellen                    em
 65 hub.docker.com                                4 4 Quellen                    4 Quellen                    em
 66 data.pmel.noaa.gov                            4 4 Quellen                    4 Quellen                    diffusion,em
 67 ec.europa.eu                                  4 4 Quellen                    4 Quellen                    em
 68 www.ebi.ac.uk                                 4 4 Quellen                    4 Quellen                    diffusion,em
 69 ned.ipac.caltech.edu                          4 4 Quellen                    4 Quellen                    em,gravity
 70 api.fda.gov                                   4 4 Quellen                    4 Quellen                    em
 71 woudc.org                                     4 4 Quellen                    4 Quellen                    diffusion
 72 opendata.cern.ch                              4 4 Quellen                    4 Quellen                    em
 73 api.opentopodata.org                          4 4 Quellen                    4 Quellen                    em
 74 api.github.com                                3 3 Quellen                    3 Quellen                    em
 75 api.wolfx.jp                                  3 3 Quellen                    3 Quellen                    em
 76 webservices.ingv.it                           3 3 Quellen                    3 Quellen                    seismic-body,seismic
 77 gcn.nasa.gov                                  3 3 Quellen                    3 Quellen                    em
 78 www.minorplanetcenter.net                     3 3 Quellen                    3 Quellen                    gravity
 79 www.nhc.noaa.gov                              3 3 Quellen                    3 Quellen                    em,thermal
 80 cddis.nasa.gov                                3 3 Quellen                    3 Quellen                    em,gravity
 81 bhuvan-app1.nrsc.gov.in                       3 3 Quellen                    3 Quellen                    diffusion,seismic-su
 82 coastwatch.pfeg.noaa.gov                      3 3 Quellen                    3 Quellen                    em,thermal
 83 hpiers.obspm.fr                               3 3 Quellen                    3 Quellen                    em
 84 v4.boldsystems.org                            3 3 Quellen                    3 Quellen                    diffusion
 85 gist.githubusercontent.com                    3 3 Quellen                    3 Quellen                    em
