# Provider-Mengen — live verifiziert 2026-08-15
# Was der Anbieter WIRKLICH hat, gegen unseren Crawl. Nur verifizierte Zahlen;
# ungezählte Mengen sind als "ungezählt" markiert, nie geschätzt.
# Regel: kein Provider gilt als "gecrawlt", solange die Menge offen ist.

b2find      1.469.856 Datasets   1.082 (nur tags:catalogs)   ~1,47M offen
nasa-cmr    54.943 Collections   ~40 URLs                    ~54,9k offen
gbif        123.629 Datasets     61 URLs                     123k offen (occurrences 3,9 Mrd)
esa-eog     8.619 Einträge       251 indexiert               8.368 offen
vires       174 Datasets         63 gedraftet                111 offen
vizier      64.148 Tabellen      39 genutzt                  64k offen (tap_compiler-Route)
arcgis      ungezählt            440+620 Datasets indexiert  offen (Crawl-Einstiege: katalog/arcgis_catalog.φ)
copernicus  CAMS 17 + C3S 173   geladen (katalog/copernicus_catalogues.φ)  Marine+DataSpace: Recheck (Domain löst nicht auf / 503)
noaa        ungezählt            ~900 URLs (ndbc/ncdc/...)   offen (viele Portale)

# Quellen der Live-Zahlen:
#   b2find      package_search?rows=0 -> result.count
#   nasa-cmr    cmr.earthdata.nasa.gov/search/collections -> CMR-Hits
#   gbif        api.gbif.org/v1/dataset/search?limit=0 -> count
#   esa-eog     earth.esa.int/eogateway/api/search/full_text -> allPagesCount
#   vires       vires.services/hapi/catalog -> 174
#   vizier      phi/katalog/tap_index.φ -> 64148 catalog-Zeilen
