ra,dec,dist_au,zone
251.746902,-20.999649,9.040051,D
251.751197,-20.998816,9.040397,D
251.750335,-21.001393,9.039566,D
251.747542,-20.999074,9.040245,D
251.747085,-20.999228,9.040188,D
251.751959,-20.998968,9.040364,D
251.752821,-21.000714,9.039829,D
251.748625,-20.998669,9.040394,D
251.753322,-21.000294,9.039971,D
251.750841,-20.998753,9.040410,D
251.751084,-21.001380,9.039585,D
251.752799,-21.000849,9.039785,D
251.746895,-20.999386,9.040134,D
251.747394,-20.998985,9.040270,D
251.749913,-20.998597,9.040442,D
251.752947,-21.000742,9.039822,D
251.749664,-20.998598,9.040437,D
251.746700,-20.999582,9.040069,D
251.752172,-20.999111,9.040323,D
251.752240,-21.001160,9.039677,D
251.748465,-20.998772,9.040359,D
251.751171,-20.998785,9.040406,D
251.751905,-20.998950,9.040368,D
251.753148,-20.999642,9.040174,D
251.750862,-20.998762,9.040408,D
251.752029,-21.001086,9.039696,D
251.746902,-21.000142,9.039896,D
251.752333,-21.001137,9.039686,D
251.751782,-20.998976,9.040358,D
251.746804,-20.999527,9.040088,D
251.753072,-21.000274,9.039973,D
251.748553,-21.001139,9.039612,D
251.751476,-20.998805,9.040406,D
251.750964,-21.001393,9.039578,D
251.746812,-20.999424,9.040121,D
251.753177,-21.000175,9.040006,D
251.749838,-21.001339,9.039574,D
251.749421,-21.001342,9.039565,D
251.751172,-21.001266,9.039623,D
251.752768,-21.000731,9.039822,D
251.751698,-20.998944,9.040366,D
251.748521,-20.998804,9.040349,D
251.751107,-21.001330,9.039601,D
251.751856,-21.001261,9.039637,D
251.748628,-21.001155,9.039609,D
251.753237,-20.999809,9.040122,D
251.750878,-20.998705,9.040426,D
251.751531,-21.001286,9.039623,D
251.749958,-20.998695,9.040411,D
251.752650,-21.000992,9.039737,D
251.746783,-20.999942,9.039957,D
251.753231,-21.000543,9.039891,D
251.752519,-20.999195,9.040303,D
251.750627,-20.998679,9.040430,D
251.753061,-21.000635,9.039858,D
251.747822,-21.000885,9.039678,D
251.749877,-21.001391,9.039558,D
251.748067,-21.001004,9.039646,D
251.746915,-21.000289,9.039849,D
251.746732,-20.999576,9.040071,D
251.746737,-20.999750,9.040016,D
251.747865,-21.000933,9.039664,D
251.750462,-21.001418,9.039561,D
251.747341,-21.000723,9.039720,D
251.749857,-20.998644,9.040426,D
251.749468,-21.001303,9.039578,D
251.750266,-21.001391,9.039566,D
251.748949,-21.001267,9.039579,D
251.749253,-21.001338,9.039563,D
251.753080,-20.999620,9.040179,D
251.747010,-20.999255,9.040178,D
251.751172,-20.998737,9.040422,D
251.748371,-21.001135,9.039610,D
251.749413,-21.001352,9.039562,D
251.749404,-20.998616,9.040426,D
251.749518,-21.001295,9.039582,D
251.746866,-20.999612,9.040062,D
251.747421,-20.999006,9.040264,D
251.751285,-20.998869,9.040382,D
251.753324,-21.000125,9.040024,D
251.746718,-20.999613,9.040059,D
251.749581,-20.998606,9.040432,D
251.746757,-20.999966,9.039948,D
251.751920,-21.001237,9.039646,D
251.749149,-21.001239,9.039592,D
